title,body,date,language,source
Still this company is scamming people,still company scamming people years later scammed february 2019 reported action fraud normally good shutting websites time never replied report beyond still happening,"Date of experience: April 22, 2019",en,Gala Hotel
I am speechless to know none of the…,speechless know none phone numbers listed website works contact us form emails need invoice booking made there way get anyone possible put incorrect information website get away dealing anything paper company,"Date of experience: March 14, 2019",en,Gala Hotel
Scammers,like others made reservation paris via gala hotelscom made november 2018 card debited arrived told reservation cancelled december 2018 touch company bargepole scammers,"Date of experience: June 27, 2019",en,Gala Hotel
Amic Gala not same as Gala hotels.com,stayed perfectly good mic gala hotel palma mallorca made mistake booking room gala hotels com came google search seemed reasonable turns galahotelscom completely different company based turkey either useless dishonest sure com took money reached actual hotel they never heard booking reference number print booking confirmation email etc worthless com took money never booked room hotel anything course com website doesn't work neither phone number glad used credit card hoping get refund via,"Date of experience: April 28, 2019",en,Gala Hotel
SCAMMERS,scammers october 2018 purchased three hotel rooms online via galahotelscom website july 2019 quests arrived hotel proof purchase informed reservations hotel contacted gala hotelscom info galahotelscom get response refund,"Date of experience: July 21, 2019",en,Gala Hotel
CHECK YOUR GALA HOTELS BOOKING,booked via galahotelscom may 2018 hotel booking may 2019 even confirmed hotel june 2018 booking find booking cancelled gala december 2018 taken money made refund told cancellation would advise anyone else check booking exists name hope galahotels folk contact reply phone calls emails either us turkish numbers,"Date of experience: May 03, 2019",en,Gala Hotel
DO NOT BOOK!!!,booked hotel room rio las vegas christmas arrived hotel got information galahotel cancelled booking pay high price stay contacting galahotels possible today complaint processed refunded money paid twice room in going file lawsuit company fraud lawyer friendly istanbul fix case,"Date of experience: February 08, 2019",en,Gala Hotel
DO NOT USE >>>> SCAM.......,use scamsame others mid november 2018 booked paid a nights hotel rome reconfirmed directly hotel time advised okay contacted hotel regarding transfers advised gala hotels cancelled booking of december 2018 cannot get onto gala,"Date of experience: April 07, 2019",en,Gala Hotel
Do not book with this company....,book accommodation company booked paid made reservation cancelled without informing shave received refund phone numbers workabsolute scammers,"Date of experience: July 29, 2019",en,Gala Hotel
Galahotels 2019,booked london hotel 2018 march 2019 galahotels confirmation even galahotel protection arrived hotel quickly find another hotel lost 149 apology nothing would thought fraud doesn't seem protection scams like guess company still trading even another name fund reimburse holiday makers unscrupulous companies pocket hard earned money deliver nothing bookish company check future company kind alta protection future try book direct hotel worth trying save pounds scammed,"Date of experience: May 07, 2019",en,Gala Hotel
It's either a scam or a horribly run…,either scam horribly run business never received confirmation email credit card charged could reach anyone gala hotels find reservation legit,"Date of experience: January 28, 2019",en,Gala Hotel
Do not use GalaHotels.com,like many others booked paid room non existing arrived hotel havana cuba case eventually got refund couple months later reading reviews understand galahotels nothing scammers place business,"Date of experience: July 31, 2019",en,Gala Hotel
Scam,scam never provide credit card number business booked hotel lisbon prepaid full amount company arrival hotel told reservation cancelled travel agent pay stay hotel againgalahotels responded complaint looking never actually said anything cooperate bank raised charge back request credit card company never made steps voluntary return money,"Date of experience: April 04, 2019",en,Gala Hotel
Gala Hotels trapped us,sadly gala hotels us booked hotel vienna whole family course paid normally heard gala hotel contacted hotel replied seeing reservation system cancelled question made cancellation give information necessarily rebooted hotel expensive time hotels official website contacted bank refund money nervous theban recommend reliable websites make future bookings please,"Date of experience: February 15, 2019",en,Gala Hotel
The price seems too good to be true because it is....this is a fraud company!,complete fraud similar people stated made reservation showed hotel informed gala hotels cancelled reservation weeks reservation made others refund money tried contacting customer service without satisfaction would recommend booking anyone reason prices beat everyone else real company actually making bookings,"Date of experience: February 13, 2019",en,Gala Hotel
Scam do NOT book through these Theives,scam book thieves booked hotel venice september last week confirmed hotel dec make sure reservation of reading bad reviews hotel confirmed well turned hotel sunday told reservation cancelled gala hotels tried customer services us italy numbers longer work contact credit card company tomorrow hold little hope transaction long ago please book company,"Date of experience: April 14, 2019",en,Gala Hotel
Scammers,booked hotel gala hotels arrived hotel find booking cancelled course credit card never reimbursed hotel supervisor told us happened often customers booked gala done answer emails scammers stay clear booking agency,"Date of experience: July 03, 2019",en,Gala Hotel
Booked 3 nights through Gala Hotel at a…,booked a nights gala hotel novel london sent confirmation voucher took payment got hotel receptionist said never received reservation pay hotel directly secure stay tried call galahotel a landlines dead novel said first time clients tried book platform hotel never received bookings money head office complained tried stop advertising hotels carry illegally process disputing payment credit card issuer,"Date of experience: January 25, 2019",en,Gala Hotel
What a scam,scam confirmed booking money taken account wrote galahotels getting automatic acknowledgement every give minutes past two days deleted hundred emails far nothing solved involve bank robbers,"Date of experience: January 24, 2019",en,Gala Hotel
Galahotels.com is a fraud,fraud pattern fraud operation works like a reserve charge card never send payment hotel a arrive hotel reservation pay hotel directly may assume galahotelscom never charged often times charge wont occur check a forget check credit card transactions actually paid twice hotel stay a even discover duplicate charge file dispute galahotels admit refuse refund delay dispute process pain done understand business,"Date of experience: February 25, 2019",en,Gala Hotel
FRAUDSTERS,fraud investigator of years never thought would victim scam gala hotels managed booked hotel back november 2018 thailand one night near airport last night flying home got told booking cancelled with december online account gala showed still booked sent message said looking matters book another room nearly of cant phone nothing back report action fraud clearly chance getting money back use fraudsters,"Date of experience: February 22, 2019",en,Gala Hotel
This website is a shame,never trust galahotels website shame cancelled two bookings far deadline never refunded yet sole booking kept finally cancelled without prior notification still waiting money back people absolute fraudsters beware,"Date of experience: February 21, 2019",en,Gala Hotel
Sadly this is a total fraud and scam…,sadly total fraud scam website even call back know didst complete booking process begin process interrupt convince book fall trap go many different facade agents operate behalf book selected hotels cancel bookings days afterthey never book directly go chain intermediaries book payment got taken almost 1000 december cancel family vacations recourse possible despite lodging official complaint since there eur someone needs sue turkey directly book scam report,"Date of experience: February 27, 2019",en,Gala Hotel
This company is fraudulent,company fraudulent booked trip advisor went straight gala booked room credit card charged 547 reservation next day needed cancel well correct time frame cancellation fine print says allow of days cancellation refund new a months never refunded moneytheres way contact company response emails phone numbers fake say service complete scam spread word galacom,"Date of experience: January 29, 2019",en,Gala Hotel
GALAHOTELS.COM IS A SCAM,galahotelscom scam arrived hotel booked company find booking cancelled a month made booking without communication made us taken payment full time booking made refunds even though cancelled booking seen many reviews online nature wish seen chose use company,"Date of experience: April 10, 2019",en,Gala Hotel
do not buy anything at galahotel I made…,buy anything galahotel made reservation december of of hotel sercotel experience mayo santa maria cuba charged money make reservation end cheated galahotel want answer return money denounced bank tripadvisor buy anything galahotel scammers,"Date of experience: January 24, 2019",en,Gala Hotel
This company is a fraud,company fraud cancelled booking of decemberthe company based turkey parent site leonardo travel site still active contact credit company asap raise case,"Date of experience: January 29, 2019",en,Gala Hotel
Gala Hotels is the online booking arm…,gala hotels online booking arm leonardo travel bernardo travel istanbul turkey bankrupt failed pay hotel wholesalers usually infinite hotels actor subsidiary alternative cancel bookings made behalf gala many online booking agents also told would travel retailers also failed pay theminfinite hotels told paid leonardobernardo travel broke booking cancelled booked gala since 2009 of nights never problems cancellations period,"Date of experience: March 01, 2019",en,Gala Hotel
"Reservation was cancelled without our notice, cannot contact GalaHotels",booked holiday varadero cuba galahotels st july 2018 price charged immediately confirmation sent today one week departure found phoning hotel directly reservation cancelled tried confirm late arrival several emails various addresses without answer finally made customer service request got confirmation number next thing noticed could access reservation cancelled website unavailable us phone number disconnected serious scam gone belly seems cannot trust turkish enterprise,"Date of experience: January 25, 2019",en,Gala Hotel
I think its a scam- I'm not even sure…,think scam in even sure made booking site must popped reputable site like bookingcom reserved two nights cancelled got confirmation email refunded,"Date of experience: January 25, 2019",en,Gala Hotel
UNBELIVABLE..,unbelievable earth company still active able advertise web clearly bogus company got conned called company back december 2018when hotel booking cancelled many people holiday plans ruined pieces st something done stop,"Date of experience: September 03, 2019",en,Gala Hotel
GALAHOTELS ARE FRAUD!!!!,fraud made reservation galahotels starfish las palms 2801 05022019 money taken account a days later reservation got varadero know booking cancelled 1812i never informed money still refunded proceed justice continue reply automatic replyvery bad,"Date of experience: February 08, 2019",en,Gala Hotel
*Don’t use Galahotels!*,done use company exactly sames reviews booking currently active luckily done travel september taking credit card company,"Date of experience: January 29, 2019",en,Gala Hotel
VERY BAD EXPERIENCE DO NOT RESERVE WITH…,bad experience reserve galahotels cancelled reserve regent hotel roma money stay taken away bank account the answer times tried connect ask money backwhen arrived hotel expecting cancelled pay hotel twice reserve galahotelspratas,"Date of experience: March 19, 2019",en,Gala Hotel
I did book the hotel in New York via…,book hotel new york via la hotel informed booking mine cancellation booking agent gala pay make new booking arrival date charged double tried call email website seemed disappear bad cheating website,"Date of experience: February 02, 2019",en,Gala Hotel
SCAM,scam even think booking called company booked hotel barcelona december 2018 arrived with may 2019 told room cancelled days booked make matters worse 120 days claim money back paid debit card time well truly run tell friends family neighbours everyone else steer clear thieving turkish scam,"Date of experience: May 31, 2019",en,Gala Hotel
Do not book through Gala Hotels,book gala hotels scam booked one night stay london hilton angel islington eth december got room available logged onto site made complaints told would get refund materialized gala hotel website longer available advice anyone get money backhoe behind,"Date of experience: January 28, 2019",en,Gala Hotel
Scam,scam charge card immediately make reservation hotel without telling hotel paid month later cancel reservation hotel without telling anything arrive hotel literally feed room booked paid nobody galahotels picks phone help numbers actually fake book,"Date of experience: March 02, 2019",en,Gala Hotel
If I’m being honest it deserves …,in honest deserves minimum stars cant believe rude staff reply emails pace snail communication didst even get product paid never ever shop scum bags reduced writing review,"Date of experience: March 03, 2019",en,Gala Hotel
i was cheated by gala hotels like the…,cheated gala hotels like customers trust gala in trying contact phone email cases websites answerthey debited accommodation amount account arrived hotel didst reservation name paid hotel order take room trying contact gala answer proof ajax hotel leonardo travelajax send done reservation booking properly because gala didst pay hotel reservation cancel reservation knows email leonardo travel asking ajax hotel reservation name georgia hotel answer leonardo travel didst make action,"Date of experience: February 15, 2019",en,Gala Hotel
The booking process this group is illegal and unethical,booking process group participates illegal people getting ripped time unfortunately included booked bookingcom first mistake always use pipeline hotline bookingcom site link galahotelscom booked hotel site got confirmation money taken bank set called hotel pennsylvania two days reservation make sure set told galahotels cancelled reservation began chain debauchery galahotels played dumb hotel pennsylvania played dumb bookingcom played dumb ripped nobody take responsibility make sure three parties outed everywhere better business bureau crime committed along ridiculously unethical behavior go hotline pipeline live never done wrong,"Date of experience: February 26, 2019",en,Gala Hotel
Shower of shi*,could give company minus would booked hotel stay rome may year st year wedding anniversary emailed hotel regarding collection hotel told booking cancelled longer valid 350 company stolen bank said late claw back 120 days heart broken,"Date of experience: April 12, 2019",en,Gala Hotel
Gala Hotels is a complete scam,gala hotels complete scam booked hotel room rome hilton fiumicino hotelthey took money never booked room showed gala hotels said confirmed reservation hotel record of emailed repeatedly without successavoid like plague use guys circumstance,"Date of experience: January 28, 2019",en,Gala Hotel
Scam website.After arriving at the…,scam websiteafter arriving hotel told booking cancelled answer telephone number paperwork never use scam company,"Date of experience: February 25, 2019",en,Gala Hotel
Avoid this company!,please avoid company dec 2018 booked hotel granada spain two double rooms gala hotels got confirmation booking immediately weeks later bank account charged stay arrived hotel of march 2019 date stay experienced booking cancelled back december 2018this bank account charged stay received information cancellation luckily got two rooms pay hotelthe day sent email gala hotels claimed cancellation behavior also claimed money backuntill today heard word gala hotelsregards finn skrabeklev norway,"Date of experience: March 24, 2019",en,Gala Hotel
SCAM I booked a hotel in Lisbon  for…,scam booked hotel lisbon tomorrow easter break kids hotel booked october 2018 yesterday logged website check booking everything fine today logged password didst work tried contact galahotels line dead called hotel told booking cancelled december of hours flying realized scammed didst hotel stay called bank refund 600 paid avoid website sure still operate online many people scammed,"Date of experience: April 14, 2019",en,Gala Hotel
Scam artists --stay away,booked hotel miami with dec 2018 feb 2019 gala took payment with december arrived miami hotel discovered gala cancelled booking with december tried contacting reply email phone numbersthey bunch conman book pearlwere hoping charge back card fingers crosses,"Date of experience: March 22, 2019",en,Gala Hotel
I will NOT recommend GALA Hotels,recommend gala hotels still owe refund cancelled booking since last year jan 2018 despite various emails nobody cares respond ever make booking,"Date of experience: May 29, 2019",en,Gala Hotel
Gala Hotel's are scamming Scum Bags!,booked hotel room spain company 25112018 arrived hotel 25022019 hotel said reservation me showed gala booking booking confirmation said trouble company pastthey hotel receptionist looked come back printed document saying reservation made 25112018 cancelled 19122018 gala hotelsgala hotels cancelled booking without informing refunding 380 paid them paid hotel port de galleries 496 euros hotel room tried contacting gala hotels emergency phone number of 212 705 4858 matter first came light answersince got home tried ringing us number web site of of 3384 of of constantly engagedthe matter looked credit card company used pay booking,"Date of experience: March 05, 2019",en,Gala Hotel
I need a refund,need refund missed flight jan of 2019 couldn't get anyone phone left message could rearrange airport pickup next day jan 172019 instead cancelled hotel booking already paid galahotels could get one phone pay arrived hotel jamaica need refund funds paid galahotels expected lose money day missed flight total amount vacation informed next days flight galahotels right thing,"Date of experience: January 28, 2019",en,Gala Hotel
Beyond bad,beyond bad avoid costs got suckered scam a nights munich also reported company via reportingactionfraudpoliceuk,"Date of experience: February 18, 2019",en,Gala Hotel
SCAM SCAM SCAM AVOID AVOID AVOID,booked paid form inclusive hotel aug 2018 vacation beginning april got hotel told gala hotels cancelled booking with dec received notification gala hotels booking website still showed confirmedsadly pay accommodation greatly increased rate tried numerous times contact gala hotels phone constantly engaged arrived back us eth apr booking still systems checked eth apr everything wiped account pagethankfully id copied notifications gala hotels claim hands credit card company cannot possibly write think gala hotels shameful many folk parted hard earned cash fraudulent actin grateful hotel spare room sticks chance another hotel would impossiblegala hope rot hell karma catches,"Date of experience: April 16, 2019",en,Gala Hotel
Gala Hotels.com - DO NOT USE,gala hotelscom use arrived sofia bulgaria pm yesterday find cancelled reservation kept money,"Date of experience: March 21, 2019",en,Gala Hotel
Absolute ripoff,absolute ripoff paid 355 a nights barcelonaturned cancelled charged total 710 a nights told apply refundnow unable get sitelocked otto apply phone numbers never answered king scam keep away,"Date of experience: January 31, 2019",en,Gala Hotel
I have just clicked on to there website…,clicked website seems still book hotel room done rip still trying get hold regarding booking took money cancelled booking done use,"Date of experience: February 25, 2019",en,Gala Hotel
same story as everyone one else,reservations cancelled al dorado caritas royal several attempts contact failed initiated charge back request bank merchant failing provide service,"Date of experience: March 10, 2019",en,Gala Hotel
How this company can keep stilling…,company keep stilling money people world police answer booked hotel with december took money card straight away cancelled a days later personal reasons still refund tried contact impossible tried bank get 750eu time tried contact get automatic answers work case received 300 messages,"Date of experience: April 15, 2019",en,Gala Hotel
"DO NOT USE, THEY TAKE YOUR MONEY BUT DON'T BOOK ROOM!",use complete con artists steal money room booked arrived vienna told record confirmed reservation hotel told us happens time gala hotels gone bankrupt see website still active book pay new rooms phoned gala got response emailed got sent back every time tried raise case site would send unable contact way refund use website,"Date of experience: March 10, 2019",en,Gala Hotel
don't use gala hotels,done use gala hotels case cancellation done get money back try contact gala hotels got answer,"Date of experience: March 18, 2019",en,Gala Hotel
Gala Cancelled my reservation,cancelled reservation without knowing cannot reach gala hotelsthis scam website book,"Date of experience: February 14, 2019",en,Gala Hotel
Cancelled booking in Bayswater Inn Hotel in London,booking march of march of 2019 backwater inn hotel 7570 london obi printed voucher sent via email checked hotel booking number told reservation cancelledthe hotel clerk tried call emergency number of 212 705 4858 us number of of 3384 6448 tried open galahotel homepage tried open homepage husband germany nothing worked response nobody answered phone one phone number disconnected instead found kind fraud happened lot customers hotel rooms booked confirmation numbers voucher sent via email people checked hotel booking cancelled happened pay 281 euro via visa card booking galahotels got cancelled hotel reservation son find another hotel one completely booked since journalist really good story get publish case warn people mean fraudnow tried file complaint hotel since sudden homepage works gives error message please circumstances book group hotelrooms chances pretty good pay another hotel,"Date of experience: March 08, 2019",en,Gala Hotel
Never ever ever book with galahotels,never ever ever book galahotels scam wish read comments booked boyfriend booked a days rome 237 got hotel booked tell us reservations money taken account yet names nowhere system dug deeper seen reservation cancelled agency galahotels day paid took money made reservation cancelled took money ruined trip list phone numbers call site one works go site write message doesn't send every time says there issue whole thing fake please done ever use sitemyself boyfriend live spain anyone were spoke unsure wether get money bank banks might go police refunded there way getting back galahotels,"Date of experience: February 05, 2019",en,Gala Hotel
BE CAREFUL!,take money reservation and cancel reservationnot allie careful,"Date of experience: February 20, 2019",en,Gala Hotel
Took our money but they never actually…,took money never actually booked hotel able charge back card actual scam done touch site,"Date of experience: August 03, 2021",en,Gala Hotel
Last November 2018 I booked two hotels…,last november 2018 booked two hotels paris site galahotelscom used many times past of years without problems except recently cancelled booking slow procedure refundingbut finally refunded recent a bookings visioned staying paris ending next monthjuneof course bookings paid time booking last november2018 total amount 600 euros a nights bookings one a star one a star hotellast week trying see status bookings order check finally would keep cancel see impossible enter web page telenumbers turkey england seat check trip advisor trust pilot consent probably victim fraudwith hundreds thousands moreover people got contacts hotels paris responded novemberber bookings bookings cancelled december without information course stolen money never refund they cancelled hotel booking without telling refund account get number emails rejected scam company book confirmation voucher gala hotels meant nothing hotels never galahotels paid demand obliged pay a and time hotel fees much amount paid galahotels almost last minute high season parisfortunately lucky discover scam arrive hotels perhaps rooms available prices extremely high hotels informed cancellation gala dec the day rest people scam victims though booked paid november actually trying resolve credit card companiessimilar signs another hotel booking site otelcom site working promptly always noticing error,"Date of experience: May 22, 2019",en,Gala Hotel
They are a fraud!Avoid at all costs!If…,fraudavoid costs lost moneycontact card holder refund block galahotels card,"Date of experience: March 14, 2019",en,Gala Hotel
¡¡¡¡ GALAHOTELS.COM RUINS YOUR HOLIDAYS !!!!,galahotelscom makes really good work ruining holidays made a reservations two different hotels galahotelscom 2112018one 24012019 26012019 hotel milanand second one 26012019 28012019 hotel florence checked reservations day holidays user account galahotelscom website everything ski arrived hotel milan 130 night told reservation cancelled absolutely falsetto hotel completely booked find another hotel 200 guess know tired went closest hotel found cost a times price would pay initially hotel made reservation galahotelscomi checked user account galahotelscom reservation hotel milan erasednext day called hotel florence told thing reservation cancelled hotel completely booked swell pay a times price initial reservationthe day check hotel florence 26012019 checked user account reservation hotel florence erased swell called lot times never answered phone recording saying unavaliablethis scam website seems working right doesn't mean tomorrow workout trust comment galahotelscom sayingthis problem fixed something similar done trust scamonly reward come back make another comment reward know galahotelscom makes really good work ruining holidays congratulationsregards,"Date of experience: February 02, 2019",en,Gala Hotel
fraud! fraud! fraud!,hello cheated galahotels good people lets make complaints ill file right get money back,"Date of experience: February 07, 2019",en,Gala Hotel
Booked 4 nights in Hotel Son Brull in…,booked a nights hotel son bull mallorca of julyhotel booking room book crooks,"Date of experience: July 01, 2019",en,Gala Hotel
Scam! Don’t use!,company done even deserve a star booked jury hotel got hotel booking hotel contacted gala hotels blamed bank never paying find money taken bank bank investigating fraud pay 200 hotel book new room stay,"Date of experience: March 02, 2019",en,Gala Hotel
Scammer,scammer recover money visa,"Date of experience: September 02, 2019",en,Gala Hotel
Take my money but cancelled my hotel booking,booked hotel room a months advance a nights overseas vacation checked hotel sudden told booking cancelled without knowledge family panicking long haul flight many luggageyoung kid due high season high occupancy know cant find best rate available ended paying high rate charged hotel order stay complained gala asked full refund of one ever responded shame company attempts response decided dispute charge credit card company got money back way report bob make company shut sure,"Date of experience: May 06, 2021",en,Gala Hotel
cheaters,cheaters take moneys make cancellation,"Date of experience: February 20, 2019",en,Gala Hotel
DO NOT USE GALA HOTELS!,booked room immediately cancelled soon put card details rang get refund lady said would receive back a days in still waiting 210 refund month half haven luck getting back book company website shut credit card company trying handle,"Date of experience: January 20, 2019",en,Gala Hotel
Gala Hotels is a pure SCAM,gala hotels pure scam company booked hotel cuba starfish mayo santa maria arrival told reservation cancelled of phone call later could determine reservation cancelled book new room full cost reading reviews company despicable ruining countless holidays please avoid,"Date of experience: January 08, 2019",en,Gala Hotel
Gala hotels - Fraud…,everyone else booked holiday eth december arrived yesterday lanzarote gala cancelled booking debited 431 account hotel another room available however pay tears tantrums contacted bank morning lloyd tab refunding due fraud gala hotels absolute scumbags,"Date of experience: January 05, 2019",en,Gala Hotel
THIS WEBSITE IS A FRAUD !!!,used website galahotels reserve hotel room using credit card received confirmation however arrived hotel room booked simply cancelled a days arrival reported website fraud federal trade commission website continue working stopped never use galahotels,"Date of experience: December 29, 2018",en,Gala Hotel
Just scammers: do NOT use this website!,put nutshell debit bank account make hotel room reservation exchange customer service team nowhere found none worldwide phone numbers currently working respond email big time scam website shall removed immediately internet shall disappear google search engines,"Date of experience: December 23, 2018",en,Gala Hotel
Hope galahotels scum bags burn in hell,hope galahotels scum bags burn hell anyone cruel stealing decent peoples hard earned money upset arriving cancelled booking indescribable hopes get original booking costs back bank wont cover additional cost expensive replacement room use demand warn everyone know too,"Date of experience: January 09, 2019",en,Gala Hotel
This website hotel booking is scam,website hotel booking scam booked a days vegas week later wanted call hotel check everything and found reservation cancelled third party gala hotels live trying get hold left a voice mugs sent email answer done know in getting money back whats going,"Date of experience: December 27, 2018",en,Gala Hotel
I have 2 bookings that have been…SCAM,a bookings cancelled wouldn't known haunt contacted hotels directly one booking feb booked since march last year june year nobody answering phone emailstried cancel line says bookings confirmed letting have pay accommodation booked directly hotels total scam,"Date of experience: January 23, 2019",en,Gala Hotel
SCAM!!,scamarrived berlin yesterday front desk tell us reservation cancelled gala hotels take money make booking send confirmation cancel booking didst double check hand would pay ridiculous christmas holidays rate stay hotel come back a days early stay away costs,"Date of experience: December 28, 2018",en,Gala Hotel
Worst experience ever,worst experience ever take payment without confirmation hotel booked room days ago arrived hotel told room cancelled story many people written receptionist showed list forwarded emails several agency money paid november informed cancelled room need money back,"Date of experience: January 01, 2019",en,Gala Hotel
